policy_id,claim_probability,predicted_severity,pure_premium,technical_premium
AC-105763,0.5580605890675809,10750.400204616806,5999.374670900697,8399.124539260976
AC-106528,0.06652666757658794,8597.373547959316,571.9546120568399,800.7364568795759
AC-106791,0.06701030887324189,6776.961617388344,454.12629120329785,635.7768076846171
AC-104666,0.061141920522353184,5181.908443114289,316.8318341830048,443.56456785620674
AC-109541,0.31119261368223206,7374.572613817722,2294.912526483347,3212.877537076686
AC-105800,0.12503123561501409,6472.9120395401205,809.3161903310022,1133.042666463403
AC-103213,0.09226315873660798,7349.774047811015,678.1133696513895,949.3587175119453
AC-108963,0.04902196514799502,4839.233146960969,237.22871867334288,332.12020614268005
AC-101729,0.06929183002004119,4633.908306406305,321.09198669596265,449.5287813743478
AC-106753,0.07731308987908356,5035.198536626679,389.28675702124843,545.0014598297479
AC-105754,0.04139369546655911,5364.731655610637,222.0660684121562,310.8924957770187
AC-108338,0.0413091283881602,3641.257116331673,150.41715771284706,210.58402079798591
AC-101965,0.05427272853148946,4863.193482947343,263.93877969610986,369.51429157455385
AC-108114,0.08478139024078736,9103.018106422802,771.7665304495848,1080.4731426294188
AC-102467,0.1309030580515191,5198.896195240508,680.55141044939,952.7719746291461
AC-103357,0.04320045880111495,5788.740371478443,250.07623992840533,350.1067358997675
AC-100012,0.12397928224093652,7519.505466649047,932.2628905619472,1305.168046786726
AC-108174,0.13051047753518996,5555.769461777161,725.0861255319626,1015.1205757447477
AC-104717,0.720909811980744,10074.451332729353,7262.770816087074,10167.879142521904
AC-109071,0.048377186434465036,4080.300177063548,197.39344237438394,276.35081932413755
AC-100404,0.09833294495861772,6148.8723858707735,604.6367298773952,846.4914218283533
AC-100140,0.07623195306154587,6634.584085834374,505.76730261420516,708.0742236598873
AC-103311,0.055840058759578905,6446.54665507042,359.97554401549905,503.96576162169873
AC-104619,0.3348359256366884,9381.408793898523,3141.2326972811807,4397.7257761936535
AC-104043,0.05275167732557921,3860.03268813277,203.62319883056801,285.07247836279527
AC-109291,0.11981064344210512,7254.618742604807,869.1805394786376,1216.8527552700928
AC-108405,0.10446266063829622,8112.845970111328,847.4894753865087,1186.4852655411123
AC-106165,0.1961333291824751,7412.390465070622,1453.816819114736,2035.3435467606307
AC-103695,0.0582822184018391,5886.032802907888,343.0510493394667,480.27146907525344
AC-100873,0.04112228229179236,5675.645385178803,233.3954917174313,326.7536884044039
AC-101277,0.06497641912303288,5771.326851191855,375.0001523790556,525.0002133306779
AC-109176,0.16279546035959352,6189.119661328927,1007.5605844866542,1410.584818281316
AC-101889,0.07540813138907332,4395.959113089211,331.49106238082544,464.08748733315565
AC-100091,0.03718141810810883,3698.4741224678246,137.51451270949707,192.5203177932959
AC-104516,0.11606600417233598,5984.684417952904,694.618406624236,972.4657692739304
AC-108373,0.30144747092286683,8328.129674518232,2510.493627901199,3514.691079061679
AC-101142,0.025269689416351496,3967.7665450518944,100.2642282700514,140.36991957807197
AC-109587,0.11543317285703593,4122.123677045445,475.82981495046744,666.1617409306544
AC-100563,0.5996749423272373,10033.493319659678,6016.834527807638,8423.568338930694
AC-102872,0.09502964191450468,8268.733899683315,785.7748215732313,1100.084750202524
AC-109437,0.05882822261449419,6211.823900530139,365.43055926242266,511.60278296739176
